eye_tracker,frame,trial_condition,segment,target_x,target_y,gaze_ori_l_x,gaze_ori_l_y,gaze_ori_l_z,gaze_dir_l_x,gaze_dir_l_y,gaze_dir_l_z,gaze_ori_r_x,gaze_ori_r_y,gaze_ori_r_z,gaze_dir_r_x,gaze_dir_r_y,gaze_dir_r_z,gaze_pos_vid_x,gaze_pos_vid_y,L POR X [px],L POR Y [px],R POR X [px],R POR Y [px],gaze_target_angle
SMI ETG,475,dilated,1,654,549,31.945,0.585,-20.42,-0.0294,-0.2483,0.9682,-30.918,2.815,-21.405,-0.0009,-0.237,0.9715,654.08,570.92,619.42,438.1,678.65,427.89,1.103233816861728
SMI ETG,476,dilated,1,654,549,31.945,0.586,-20.42,-0.0353,-0.2592,0.9652,-30.918,2.815,-21.405,-0.0016,-0.2371,0.9715,658.0,582.87,626.68,451.11,679.49,428.09,1.7149502937837955
SMI ETG,477,dilated,1,654,549,31.945,0.586,-20.42,-0.0337,-0.2587,0.9654,-30.918,2.815,-21.406,-0.0023,-0.2363,0.9717,657.43,581.89,624.75,450.54,680.27,427.11,1.6629400131192718
SMI ETG,477,dilated,1,654,549,31.945,0.587,-20.421,-0.0327,-0.2578,0.9657,-30.918,2.816,-21.406,-0.0017,-0.2386,0.9711,656.51,581.06,623.52,449.41,679.59,429.87,1.6172976126434393
SMI ETG,479,dilated,1,654,549,31.945,0.587,-20.421,-0.0367,-0.2571,0.9657,-30.918,2.816,-21.406,-0.0039,-0.2367,0.9716,660.1,580.45,628.2,448.67,682.22,427.55,1.6110837851153792
SMI ETG,479,dilated,1,654,549,31.945,0.588,-20.421,-0.0368,-0.2629,0.9641,-30.918,2.816,-21.406,-0.0028,-0.2363,0.9717,659.55,587.13,628.46,455.61,680.87,427.15,1.9368910338958651
SMI ETG,480,dilated,1,654,550,31.944,0.588,-20.421,-0.0364,-0.2596,0.965,-30.918,2.816,-21.406,-0.002,-0.2392,0.971,658.87,583.73,627.97,451.58,679.95,430.58,1.7134169862603439
SMI ETG,480,dilated,1,654,550,31.944,0.588,-20.422,-0.0381,-0.2634,0.964,-30.918,2.816,-21.406,-0.0011,-0.2369,0.9715,659.3,588.02,629.97,456.11,678.85,427.79,1.9294118423522004
SMI ETG,481,dilated,1,654,550,31.944,0.589,-20.422,-0.0382,-0.2644,0.9637,-30.918,2.816,-21.406,-0.0007,-0.2366,0.9716,659.19,589.23,630.21,457.31,678.39,427.41,1.9887662964310968
SMI ETG,482,dilated,1,653,549,31.944,0.589,-20.422,-0.0331,-0.2512,0.9674,-30.918,2.816,-21.406,-0.0015,-0.2381,0.9712,656.61,574.7,623.94,441.56,679.32,429.28,1.305717509597115
SMI ETG,483,dilated,1,653,549,31.944,0.589,-20.422,-0.0374,-0.2596,0.965,-30.917,2.816,-21.406,-0.0028,-0.2379,0.9713,659.86,583.6,629.1,451.62,680.84,429.0,1.7735343426501098
SMI ETG,484,dilated,1,654,549,31.944,0.59,-20.423,-0.0342,-0.2521,0.9671,-30.917,2.817,-21.406,-0.0039,-0.2379,0.9713,658.63,575.15,625.22,442.67,682.18,428.98,1.3360285222185944
SMI ETG,485,dilated,1,654,550,31.944,0.59,-20.423,-0.0301,-0.2495,0.9679,-30.917,2.817,-21.406,-0.0029,-0.2357,0.9718,655.67,571.43,620.35,439.59,680.99,426.4,1.0816578403235382
SMI ETG,485,dilated,1,654,550,31.944,0.591,-20.423,-0.0334,-0.2543,0.9666,-30.917,2.817,-21.407,-0.0024,-0.2363,0.9717,657.32,577.05,624.31,445.22,680.43,427.16,1.3708495291954215
SMI ETG,486,dilated,1,654,549,31.944,0.591,-20.423,-0.0357,-0.262,0.9644,-30.917,2.818,-21.407,-0.003,-0.2371,0.9715,659.07,585.85,627.17,454.44,681.18,428.02,1.8699876338078638
SMI ETG,487,dilated,1,654,549,31.944,0.592,-20.424,-0.0336,-0.2579,0.9656,-30.917,2.818,-21.407,-0.0029,-0.2365,0.9716,657.72,580.92,624.61,449.59,680.97,427.32,1.6161463615508564
SMI ETG,488,dilated,1,654,549,31.944,0.593,-20.424,-0.0346,-0.2609,0.9647,-30.917,2.819,-21.407,-0.0039,-0.2357,0.9718,658.89,584.4,625.79,453.21,682.2,426.38,1.7967258244662303
SMI ETG,489,dilated,1,654,549,31.943,0.593,-20.424,-0.034,-0.2602,0.965,-30.917,2.819,-21.407,-0.0014,-0.2407,0.9706,657.09,584.26,625.08,452.34,679.23,432.33,1.7796811428720114
SMI ETG,490,dilated,1,653,549,31.943,0.594,-20.424,-0.0346,-0.2602,0.9649,-30.917,2.819,-21.407,-0.0017,-0.2371,0.9715,657.63,583.84,625.8,452.33,679.62,428.01,1.7671854835129612
SMI ETG,490,dilated,1,653,549,31.943,0.594,-20.424,-0.0302,-0.2541,0.9667,-30.917,2.82,-21.407,-0.0008,-0.2411,0.9705,654.52,577.62,620.46,445.05,678.52,432.82,1.4417820449949232
SMI ETG,491,dilated,1,653,549,31.943,0.594,-20.425,-0.0296,-0.2482,0.9683,-30.917,2.82,-21.408,0.0003,-0.2407,0.9706,653.51,572.55,619.65,437.94,677.22,432.31,1.185410188959115
SMI ETG,492,dilated,1,653,549,31.943,0.595,-20.425,-0.0304,-0.25,0.9678,-30.917,2.82,-21.408,-0.0024,-0.2404,0.9707,655.55,573.42,620.69,440.13,680.37,431.95,1.235438431082422
SMI ETG,493,dilated,1,653,549,31.943,0.595,-20.425,-0.0271,-0.2483,0.9683,-30.917,2.821,-21.408,-0.0006,-0.2424,0.9702,652.6,572.45,616.75,438.13,678.22,434.43,1.1803277520270141
SMI ETG,494,dilated,1,653,549,31.943,0.596,-20.426,-0.0292,-0.2495,0.9679,-30.917,2.821,-21.408,-0.0022,-0.2408,0.9706,654.73,572.85,619.23,439.53,680.13,432.41,1.2033037074036415
SMI ETG,494,dilated,1,653,549,31.943,0.596,-20.426,-0.0342,-0.2617,0.9646,-30.917,2.821,-21.408,-0.0027,-0.2411,0.9705,657.96,585.66,625.32,454.06,680.76,432.86,1.859845047886201
SMI ETG,495,dilated,1,653,549,31.942,0.597,-20.426,-0.0322,-0.2589,0.9654,-30.917,2.822,-21.408,-0.0012,-0.2414,0.9704,655.92,582.75,622.98,450.8,678.92,433.14,1.7035145945739354
SMI ETG,495,dilated,1,653,549,31.942,0.597,-20.426,-0.0332,-0.2587,0.9654,-30.917,2.822,-21.409,-0.0023,-0.2407,0.9706,657.14,582.35,624.17,450.5,680.23,432.29,1.6899259327843597
SMI ETG,496,dilated,1,653,549,31.942,0.597,-20.427,-0.0274,-0.2534,0.967,-30.917,2.822,-21.409,-0.0016,-0.2396,0.9709,653.35,575.74,617.13,444.22,679.48,431.01,1.3455150058501042
SMI ETG,497,dilated,1,653,549,31.942,0.598,-20.427,-0.0293,-0.2535,0.9669,-30.917,2.823,-21.409,-0.0022,-0.2394,0.9709,654.84,576.03,619.45,444.26,680.21,430.78,1.3630391673656004
SMI ETG,498,dilated,1,653,549,31.942,0.598,-20.427,-0.0275,-0.2486,0.9682,-30.917,2.823,-21.409,-0.0015,-0.2398,0.9708,653.36,571.47,617.17,438.48,679.39,431.31,1.1310118058063399
SMI ETG,499,dilated,1,653,549,31.942,0.599,-20.427,-0.0286,-0.2531,0.967,-30.917,2.823,-21.409,-0.0026,-0.2394,0.9709,654.64,575.43,618.6,443.81,680.63,430.84,1.3323231697623608
SMI ETG,500,dilated,1,653,549,31.942,0.599,-20.428,-0.0275,-0.2494,0.968,-30.917,2.824,-21.409,-0.0007,-0.2413,0.9705,652.93,572.94,617.26,439.46,678.41,433.07,1.2047646525311013
SMI ETG,501,dilated,1,652,549,31.942,0.6,-20.428,-0.0271,-0.2511,0.9676,-30.917,2.824,-21.41,-0.0033,-0.24,0.9708,654.17,573.19,616.73,441.5,681.51,431.46,1.2221238171297912
SMI ETG,501,dilated,1,652,549,31.942,0.6,-20.428,-0.0284,-0.2544,0.9667,-30.917,2.824,-21.41,-0.0036,-0.2376,0.9714,655.1,576.32,618.41,445.45,681.79,428.67,1.3832502969341107
SMI ETG,502,dilated,1,653,549,31.941,0.601,-20.428,-0.0281,-0.2522,0.9673,-30.917,2.825,-21.41,-0.0008,-0.2426,0.9701,653.29,575.85,617.94,442.79,678.5,434.56,1.3510066743978537
SMI ETG,503,dilated,1,653,548,31.941,0.601,-20.428,-0.0317,-0.2577,0.9657,-30.917,2.825,-21.41,-0.0034,-0.2407,0.9706,656.88,580.82,622.33,449.32,681.52,432.33,1.6621779190536736
SMI ETG,504,dilated,1,653,548,31.941,0.601,-20.429,-0.0302,-0.2582,0.9656,-30.917,2.825,-21.41,-0.0013,-0.2398,0.9708,654.79,581.32,620.52,449.96,679.08,431.23,1.678286375772292
SMI ETG,505,dilated,1,653,549,31.941,0.602,-20.429,-0.0316,-0.2586,0.9655,-30.917,2.826,-21.41,-0.0015,-0.2396,0.9709,655.75,581.94,622.18,450.45,679.38,431.02,1.6623028501696844
SMI ETG,505,dilated,1,653,549,31.941,0.602,-20.429,-0.0289,-0.2578,0.9658,-30.917,2.826,-21.41,-0.0018,-0.2423,0.9702,654.37,580.99,619.06,449.47,679.65,434.27,1.6104081117886369
SMI ETG,506,dilated,1,653,548,31.941,0.603,-20.429,-0.0294,-0.2597,0.9653,-30.917,2.826,-21.411,-0.0017,-0.2438,0.9698,654.63,583.27,619.65,451.71,679.6,436.03,1.7756162990297724
SMI ETG,507,dilated,1,653,549,31.941,0.603,-20.43,-0.0291,-0.2532,0.967,-30.917,2.827,-21.411,-0.0015,-0.2419,0.9703,654.31,576.6,619.18,444.0,679.37,433.73,1.3901060312519167
SMI ETG,508,dilated,1,653,549,31.941,0.604,-20.43,-0.0293,-0.2544,0.9667,-30.917,2.827,-21.411,0.0006,-0.2454,0.9694,653.23,579.39,619.45,445.34,676.85,437.9,1.5287290075526552
SMI ETG,509,dilated,1,652,549,31.941,0.604,-20.43,-0.0332,-0.2573,0.9658,-30.917,2.827,-21.411,-0.0026,-0.244,0.9698,657.33,581.69,624.08,448.87,680.67,436.27,1.6656401406893915
SMI ETG,510,dilated,1,653,548,31.94,0.605,-20.43,-0.0303,-0.2558,0.9663,-30.917,2.828,-21.411,-0.0007,-0.2439,0.9698,654.54,580.09,620.7,447.09,678.32,436.18,1.616007595458811
SMI ETG,510,dilated,1,653,548,31.94,0.605,-20.431,-0.0277,-0.2549,0.9666,-30.917,2.828,-21.411,-0.0008,-0.2445,0.9697,653.13,578.69,617.58,445.98,678.53,436.82,1.5439599835711315
SMI ETG,511,dilated,1,652,549,31.94,0.606,-20.431,-0.0307,-0.2612,0.9648,-30.917,2.828,-21.412,0.0012,-0.2436,0.9699,653.69,585.62,621.19,453.49,676.19,435.84,1.8431851415810523
SMI ETG,512,dilated,1,652,548,31.94,0.606,-20.431,-0.0296,-0.2584,0.9656,-30.917,2.829,-21.412,-0.0005,-0.2438,0.9698,654.01,582.27,619.86,450.12,678.12,436.0,1.726517525988143
SMI ETG,512,dilated,1,652,548,31.94,0.607,-20.431,-0.03,-0.2589,0.9655,-30.917,2.829,-21.412,0.0001,-0.246,0.9693,653.87,583.57,620.3,450.74,677.38,438.6,1.7912567034363402
SMI ETG,513,dilated,1,652,549,31.94,0.607,-20.431,-0.0304,-0.2628,0.9644,-30.917,2.829,-21.412,-0.0002,-0.2443,0.9697,654.32,587.12,620.9,455.47,677.76,436.58,1.9199585575351743
SMI ETG,514,dilated,1,653,549,31.94,0.607,-20.432,-0.0257,-0.2527,0.9672,-30.917,2.83,-21.412,-0.001,-0.2465,0.9691,652.05,577.0,615.09,443.38,678.75,439.28,1.4095657115740572
SMI ETG,515,dilated,1,652,549,31.939,0.607,-20.432,-0.0277,-0.2545,0.9667,-30.917,2.83,-21.412,0.0003,-0.2444,0.9697,652.44,578.68,617.57,445.55,677.14,436.76,1.4932106060705477
SMI ETG,516,dilated,1,652,549,31.939,0.608,-20.432,-0.0277,-0.2556,0.9664,-30.917,2.83,-21.413,-0.0013,-0.2417,0.9703,653.39,578.48,617.56,446.82,679.14,433.58,1.4846067456119345
SMI ETG,516,dilated,1,652,549,31.939,0.608,-20.432,-0.0285,-0.2548,0.9666,-30.917,2.831,-21.413,-0.001,-0.2421,0.9703,653.67,578.06,618.5,445.85,678.74,434.01,1.4642712727006337
SMI ETG,517,dilated,1,652,549,31.939,0.609,-20.432,-0.0259,-0.2541,0.9668,-30.917,2.831,-21.413,-0.0016,-0.2442,0.9697,652.51,577.26,615.45,445.05,679.39,436.5,1.4219750930492276
SMI ETG,518,dilated,1,652,550,31.939,0.609,-20.432,-0.0269,-0.2542,0.9668,-30.917,2.831,-21.413,-0.0017,-0.2434,0.9699,653.14,577.29,616.57,445.13,679.57,435.56,1.374025045155889
SMI ETG,519,dilated,1,653,549,31.939,0.61,-20.433,-0.0304,-0.2574,0.9658,-30.917,2.832,-21.413,-0.0002,-0.2449,0.9696,654.3,581.93,620.81,448.94,677.74,437.35,1.657399606147708
SMI ETG,520,dilated,1,653,549,31.938,0.61,-20.433,-0.0294,-0.2584,0.9656,-30.917,2.832,-21.413,-0.0007,-0.2439,0.9698,654.0,582.23,619.63,450.15,678.31,436.16,1.671935946268135
SMI ETG,521,dilated,1,652,549,31.938,0.61,-20.433,-0.0306,-0.2598,0.9652,-30.917,2.832,-21.413,-0.0007,-0.2425,0.9702,654.71,583.63,621.07,451.86,678.36,434.51,1.7466849350819251
SMI ETG,522,dilated,1,652,549,31.938,0.61,-20.433,-0.0315,-0.2615,0.9647,-30.917,2.833,-21.414,-0.0006,-0.2448,0.9696,655.23,586.01,622.22,453.89,678.27,437.24,1.8677843017975586
SMI ETG,522,dilated,1,652,549,31.938,0.611,-20.434,-0.0267,-0.2529,0.9671,-30.916,2.833,-21.414,-0.0005,-0.2431,0.97,652.33,576.33,616.3,443.64,678.17,435.18,1.3751487429979778
